# raw data obtained from the ADCC experiment tx007 using isolated CD56+ cells from the PBMCs from 30 donors. Data are EC50, top and bottom (upper and lower asymptotes resp.) extracted from the 4P fitting for each donor (E:T=5:1)
,donor,EC50,top,bottom
0,015,-3.2503136685487717,51.37818497493935,-1.4959987941169963
1,016,-2.3559259625183353,33.61651665527311,-5.064766308163871
2,017,-3.0235698957522557,53.59481993300314,-5.559942185777747
3,018,-2.554070771023136,59.77814525694708,-3.319961299928833
4,019,-3.045573354414965,43.967242001970135,-5.068841693933023
5,020,-2.9659222138100088,29.52240531315602,-5.204671834921182
6,021,-2.528873753965785,42.972480751298825,-4.671823950558894
7,022,-3.4384616705020457,43.96464065981254,-4.857047805945874
8,023,-2.8288260974589226,65.26445950380433,-3.671585977877911
9,024,-3.2900177793250607,78.34922056910425,-7.52583503280687
10,025,-2.7037956388075832,69.70011737843421,9.312719976203573
11,026,-2.7591837059771813,58.28919232041959,-0.6077124877808949
12,027,-2.7940785542420072,71.38242689526558,-2.698695730799222
13,028,-2.9384687622918606,77.59500948856466,-2.0620289832863086
14,029,-2.9987324584553914,60.87927451376884,13.063869966636332
15,030,-3.3924744584900157,61.91836228106967,2.938414539079621
16,031,-2.718086635848584,39.118224975071115,-6.185240872763181
17,032,-2.929441415598437,39.170153956265345,-5.679440267811391
18,033,-2.9864697452919584,58.29973073575938,-1.4852748135039564
19,034,-3.405152143558145,71.51914157914449,1.4800044369856247
20,035,-2.9461600679637447,63.74943558763268,13.92224903311304
21,036,-2.9965216011151514,80.58374437281503,-0.09547837223562115
22,037,-3.0762807691741854,90.68392951577425,-11.151898866167626
23,038,-3.4639798974941427,84.63553794220248,-6.223364412241521
24,039,-3.3100988110891367,70.79100935301175,1.2350724945182678
25,040,-3.3633129931776535,49.52432561130293,-1.8356372183218659
26,041,-3.086775132206995,39.576168158697925,4.26708951130566
27,042,-3.195046661911108,47.92011891315315,-4.191646858073955
28,043,-2.640235938456981,51.99242655904181,2.570441201618593
29,044,-3.141251617283113,66.84372874557396,-4.015555121334363
